Z,A,BINDING ENERGY / A (keV)
45,122,8216
46,122,8307
47,122,8354
48,122,8425.233
49,122,8442.156
50,122,8487.945
51,122,8468.288
52,122,8478.137
53,122,8437.019
54,122,8424.664
55,122,8359.11
56,122,8323.756
57,122,8235
58,122,8173
59,122,8061
46,123,8272
47,123,8341
48,123,8394.558
49,123,8437.912
50,123,8467.278
51,123,8472.329
52,123,8465.544
53,123,8449.195
54,123,8420.926
55,123,8380.379
56,123,8330.208
57,123,8267
58,123,8192
59,123,8105
46,124,8255
47,124,8311
48,124,8387.108
49,124,8414.396
50,124,8467.441
51,124,8456.161
52,124,8473.273
53,124,8441.483
54,124,8437.554
55,124,8383.432
56,124,8355.82
57,124,8278.292
58,124,8228
59,124,8128
60,124,8052
47,125,8296
48,125,8357.764
49,125,8408.482
50,125,8445.567
51,125,8458.164
52,125,8458.039
53,125,8450.294
54,125,8430.88
55,125,8399.785
56,125,8358.17
57,125,8304.642
58,125,8242
59,125,8165
60,125,8077
47,126,8264
48,126,8347.307
49,126,8384.638
50,126,8443.564
51,126,8440.355
52,126,8463.242
53,126,8439.937
54,126,8443.712
55,126,8399.221
56,126,8379.718
57,126,8312.426
58,126,8273.257
59,126,8183
60,126,8119
61,126,8007
47,127,8246
48,127,8315.132
49,127,8375.649
50,127,8420.78
51,127,8439.824
52,127,8446.113
53,127,8445.481
54,127,8434.105
55,127,8411.561
56,127,8378.437
57,127,8333.538
58,127,8280.762
59,127,8215
60,127,8138
61,127,8050
47,128,8212
48,128,8303.632
49,128,8352.755
50,128,8416.765
51,128,8420.605
52,128,8448.74
53,128,8432.829
54,128,8443.296
55,128,8406.491
56,128,8396.24
57,128,8337.24
58,128,8306.925
59,128,8228.913
60,128,8175
61,128,8074
62,128,7997
47,129,8193
48,129,8270
49,129,8339.564
50,129,8392.84
51,129,8418.046
52,129,8430.396
53,129,8435.96
54,129,8431.4
55,129,8416.056
56,129,8391.109
57,129,8356.064
58,129,8310.94
59,129,8254.38
60,129,8190
61,129,8112
62,129,8023
47,130,8144
48,130,8256.066
49,130,8314.048
50,130,8386.868
51,130,8397.409
52,130,8430.312
53,130,8421.071
54,130,8437.74
55,130,8408.789
56,130,8405.549
57,130,8356.196
58,130,8333.216
59,130,8263.756
60,130,8222.513
61,130,8131
62,130,8064
63,130,7953
48,131,8207
49,131,8298.814
50,131,8362.896
51,131,8392.602
52,131,8411.221
53,131,8422.309
54,131,8423.748
55,131,8415.063
56,131,8398.587
57,131,8370.367
58,131,8333.449
59,131,8285.972
60,131,8230.311
61,131,8163
62,131,8084
63,131,7995
48,132,8171
49,132,8253.773
50,132,8354.93
51,132,8372.634
52,132,8408.44
53,132,8406.435
54,132,8427.633
55,132,8405.612
56,132,8409.373
57,132,8367.881
58,132,8352.362
59,132,8291.431
60,132,8256.81
61,132,8177
62,132,8122
63,132,8020
49,133,8219
50,133,8310.68
51,133,8364.873
52,133,8389.081
53,133,8405.319
54,133,8412.647
55,133,8409.978
56,133,8400.205
57,133,8378.841
58,133,8349.867
59,133,8310.258
60,133,8262.231
61,133,8204.283
62,133,8136
63,133,8056
49,134,8173
50,134,8277.873
51,134,8327.034
52,134,8383.836
53,134,8389.288
54,134,8413.689
55,134,8398.646
56,134,8408.171
57,134,8374.488
58,134,8365.794
59,134,8312.777
60,134,8285.538
61,134,8213.225
62,134,8168
63,134,8075
64,134,8008
49,135,8137
50,135,8232
51,135,8292.117
52,135,8346.47
53,135,8384.838
54,135,8398.505
55,135,8401.338
56,135,8397.533
57,135,8382.849
58,135,8362.049
59,135,8328.928
60,135,8288.154
61,135,8236.165
62,135,8177.626
63,135,8108
64,135,8028
50,136,8199
51,136,8255
52,136,8319.429
53,136,8350.986
54,136,8396.158
55,136,8389.77
56,136,8402.755
57,136,8376.046
58,136,8373.466
59,136,8329.911
60,136,8308.512
61,136,8243.926
62,136,8205.916
63,136,8123
64,136,8064
65,136,7962
50,137,8153
51,137,8220
52,137,8282.114
53,137,8327.072
54,137,8364.256
55,137,8388.956
56,137,8391.827
57,137,8381.586
58,137,8366.955
59,137,8341.528
60,137,8309.561
61,137,8263.651
62,137,8213.798
63,137,8150
64,137,8080
65,137,7999
51,138,8182
52,138,8254
53,138,8294.988
54,138,8345.985
55,138,8360.146
56,138,8393.42
57,138,8375.164
58,138,8377.059
59,138,8339.238
60,138,8325.5
61,138,8268.543
62,138,8237.928
63,138,8161.62
64,138,8113
65,138,8019
66,138,7950
51,139,8146
52,139,8216
53,139,8268.249
54,139,8311.585
55,139,8342.338
56,139,8367.017
57,139,8378.063
58,139,8370.428
59,139,8349.482
60,139,8323.482
61,139,8285.514
62,139,8243.078
63,139,8187.218
64,139,8125
65,139,8052
66,139,7971
52,140,8188
53,140,8234
54,140,8290.919
55,140,8314.331
56,140,8353.174
57,140,8355.083
58,140,8376.368
59,140,8346.58
60,140,8337.824
61,140,8289.056
62,140,8263.82
63,140,8197.732
64,140,8154.975
65,140,8068.672
